Threshold,Precision,Recall,F1_Score,Accuracy,Specificity,TP,FP,TN,FN,Model
0.1,0.3704,0.9706,0.5362,0.5543,0.4039,363,617,418,11,Random Forest
0.15,0.4064,0.9519,0.5696,0.6182,0.4976,356,520,515,18,Random Forest
0.2,0.4331,0.9171,0.5883,0.6593,0.5662,343,449,586,31,Random Forest
0.25,0.4654,0.8984,0.6131,0.6991,0.6271,336,386,649,38,Random Forest
0.3,0.4946,0.8583,0.6276,0.7296,0.6831,321,328,707,53,Random Forest
0.35,0.5146,0.8021,0.627,0.7466,0.7266,300,283,752,74,Random Forest
0.4,0.5429,0.762,0.634,0.7665,0.7681,285,240,795,89,Random Forest
0.45,0.5542,0.7112,0.623,0.7715,0.7932,266,214,821,108,Random Forest
0.5,0.58,0.6684,0.6211,0.7835,0.8251,250,181,854,124,Random Forest
0.55,0.6,0.6176,0.6087,0.7892,0.8512,231,154,881,143,Random Forest
0.6,0.6149,0.5508,0.5811,0.7892,0.8754,206,129,906,168,Random Forest
0.65,0.646,0.5027,0.5654,0.7949,0.9005,188,103,932,186,Random Forest
0.7,0.6795,0.4706,0.5561,0.8006,0.9198,176,83,952,198,Random Forest
0.75,0.6923,0.385,0.4948,0.7913,0.9382,144,64,971,230,Random Forest
0.8,0.6824,0.2701,0.387,0.7729,0.9546,101,47,988,273,Random Forest
0.85,0.7683,0.1684,0.2763,0.7658,0.9816,63,19,1016,311,Random Forest
0.9,0.7273,0.0428,0.0808,0.7417,0.9942,16,6,1029,358,Random Forest
