iter	Passed	Remaining
0	174	69813
1	190	37912
2	206	27361
3	221	21974
4	236	18704
5	251	16488
6	266	14938
7	281	13769
8	297	12925
9	313	12207
10	329	11655
11	347	11250
12	368	10981
13	382	10543
14	399	10262
15	415	9973
16	429	9684
17	444	9425
18	462	9270
19	486	9249
20	503	9084
21	521	8953
22	538	8825
23	555	8698
24	570	8560
25	586	8441
26	602	8321
27	620	8239
28	641	8200
29	655	8084
30	670	7983
31	685	7886
32	701	7803
33	717	7721
34	733	7653
35	751	7597
36	767	7532
37	790	7535
38	805	7453
39	821	7389
40	837	7337
41	854	7285
42	874	7257
43	894	7240
44	914	7212
45	935	7201
46	956	7186
47	974	7143
48	991	7104
49	1006	7048
50	1022	6999
51	1039	6955
52	1054	6902
53	1070	6861
54	1094	6868
55	1110	6823
56	1128	6788
57	1144	6747
58	1161	6712
59	1179	6682
60	1197	6653
61	1214	6622
62	1229	6578
63	1247	6549
64	1263	6512
65	1279	6473
66	1297	6447
67	1316	6425
68	1335	6405
69	1357	6398
70	1379	6392
71	1399	6374
72	1421	6367
73	1439	6341
74	1456	6310
75	1491	6356
76	1539	6459
77	1582	6534
78	1623	6595
79	1642	6568
80	1670	6580
81	1695	6576
82	1714	6549
83	1734	6524
84	1753	6498
85	1763	6439
86	1780	6405
87	1796	6370
88	1817	6351
89	1850	6374
90	1868	6344
91	1883	6304
92	1901	6278
93	1915	6237
94	1931	6202
95	1948	6170
96	1962	6130
97	1977	6094
98	1994	6062
99	2006	6020
100	2027	6000
101	2040	5962
102	2054	5924
103	2069	5889
104	2082	5850
105	2095	5813
106	2110	5778
107	2126	5749
108	2143	5721
109	2157	5689
110	2171	5653
111	2185	5620
112	2199	5587
113	2215	5558
114	2231	5529
115	2262	5538
116	2290	5540
117	2304	5508
118	2318	5474
119	2333	5444
120	2349	5417
121	2363	5385
122	2378	5356
123	2395	5332
124	2410	5302
125	2427	5279
126	2441	5248
127	2458	5223
128	2473	5196
129	2489	5170
130	2504	5143
131	2520	5117
132	2536	5093
133	2552	5066
134	2571	5047
135	2590	5028
136	2607	5005
137	2624	4982
138	2641	4959
139	2657	4935
140	2673	4911
141	2693	4893
142	2713	4877
143	2729	4852
144	2750	4837
145	2778	4833
146	2810	4836
147	2827	4813
148	2843	4789
149	2859	4765
150	2877	4744
151	2891	4718
152	2908	4694
153	2924	4672
154	2940	4648
155	2957	4625
156	2973	4602
157	2991	4581
158	3008	4560
159	3026	4539
160	3042	4516
161	3058	4494
162	3075	4471
163	3092	4449
164	3108	4427
165	3125	4405
166	3142	4383
167	3158	4361
168	3182	4349
169	3198	4327
170	3215	4306
171	3234	4287
172	3257	4274
173	3282	4263
174	3299	4241
175	3316	4221
176	3337	4205
177	3354	4183
178	3370	4161
179	3387	4140
180	3406	4121
181	3425	4102
182	3442	4081
183	3459	4060
184	3476	4040
185	3496	4022
186	3512	4000
187	3528	3978
188	3544	3956
189	3560	3935
190	3576	3913
191	3592	3891
192	3607	3869
193	3624	3848
194	3643	3830
195	3661	3811
196	3679	3791
197	3696	3771
198	3712	3750
199	3729	3729
200	3746	3708
201	3762	3687
202	3776	3665
203	3794	3646
204	3812	3626
205	3828	3605
206	3846	3586
207	3864	3566
208	3880	3546
209	3898	3527
210	3915	3507
211	3932	3487
212	3949	3467
213	3967	3448
214	3985	3429
215	4003	3410
216	4019	3389
217	4037	3370
218	4054	3351
219	4072	3331
220	4089	3312
221	4106	3292
222	4122	3271
223	4140	3253
224	4158	3234
225	4175	3214
226	4192	3195
227	4213	3178
228	4231	3160
229	4248	3140
230	4265	3120
231	4281	3100
232	4297	3080
233	4314	3060
234	4331	3041
235	4348	3022
236	4366	3003
237	4384	2984
238	4401	2964
239	4418	2945
240	4435	2926
241	4452	2907
242	4472	2889
243	4489	2870
244	4510	2853
245	4527	2834
246	4543	2814
247	4562	2796
248	4579	2777
249	4596	2758
250	4613	2738
251	4630	2719
252	4647	2700
253	4665	2681
254	4682	2662
255	4700	2643
256	4717	2624
257	4735	2606
258	4751	2586
259	4770	2568
260	4788	2550
261	4814	2535
262	4831	2516
263	4847	2497
264	4865	2478
265	4882	2459
266	4899	2440
267	4918	2422
268	4936	2403
269	4952	2384
270	4970	2365
271	4987	2346
272	5004	2328
273	5022	2309
274	5040	2290
275	5055	2271
276	5069	2251
277	5102	2239
278	5128	2224
279	5146	2205
280	5163	2186
281	5183	2168
282	5201	2150
283	5218	2131
284	5235	2112
285	5252	2093
286	5270	2075
287	5287	2056
288	5304	2037
289	5320	2018
290	5336	1998
291	5353	1979
292	5369	1960
293	5386	1941
294	5405	1923
295	5423	1905
296	5439	1886
297	5455	1867
298	5472	1848
299	5490	1830
300	5507	1811
301	5525	1792
302	5543	1774
303	5562	1756
304	5578	1737
305	5594	1718
306	5610	1699
307	5625	1680
308	5643	1661
309	5658	1642
310	5676	1624
311	5692	1605
312	5709	1586
313	5726	1568
314	5742	1549
315	5759	1530
316	5775	1512
317	5792	1493
318	5808	1474
319	5825	1456
320	5845	1438
321	5861	1419
322	5878	1401
323	5895	1382
324	5913	1364
325	5929	1345
326	5945	1327
327	5962	1308
328	5983	1291
329	6000	1272
330	6017	1254
331	6034	1235
332	6051	1217
333	6070	1199
334	6089	1181
335	6105	1162
336	6123	1144
337	6143	1126
338	6158	1108
339	6176	1089
340	6194	1071
341	6212	1053
342	6230	1035
343	6249	1017
344	6267	999
345	6287	981
346	6304	962
347	6322	944
348	6339	926
349	6357	908
350	6374	889
351	6393	871
352	6410	853
353	6432	835
354	6450	817
355	6468	799
356	6486	781
357	6502	762
358	6522	744
359	6539	726
360	6556	708
361	6573	690
362	6588	671
363	6604	653
364	6620	634
365	6635	616
366	6652	598
367	6668	579
368	6685	561
369	6701	543
370	6718	525
371	6734	506
372	6750	488
373	6766	470
374	6782	452
375	6797	433
376	6812	415
377	6830	397
378	6850	379
379	6867	361
380	6885	343
381	6902	325
382	6917	307
383	6933	288
384	6949	270
385	6966	252
386	6980	234
387	6995	216
388	7015	198
389	7029	180
390	7045	162
391	7058	144
392	7073	125
393	7088	107
394	7105	89
395	7121	71
396	7136	53
397	7153	35
398	7171	17
399	7185	0
